,SBIN,TATAMOTORS,BPCL,ADANIPORTS,HDFCBANK
2022-12-20,535.28826,431.10454,342.70299,938.44471,1433.10558
2022-12-21,535.42501,431.0575,342.6065,938.74946,1433.29471
2022-12-22,535.56177,431.01046,342.51002,939.0543,1433.48391
2022-12-23,535.69855,430.96342,342.41355,939.35923,1433.67317
2022-12-24,535.83534,430.91638,342.31708,939.66425,1433.8625
2022-12-25,535.97214,430.86935,342.22063,939.96936,1434.05189
2022-12-26,536.10897,430.82232,342.12418,940.27456,1434.24135
2022-12-27,536.2458,430.77529,342.02775,940.57985,1434.43087
2022-12-28,536.38266,430.72827,341.93132,940.88522,1434.62046
2022-12-29,536.51952,430.68125,341.8349,941.19069,1434.81011
2022-12-30,536.65641,430.63423,341.7385,941.49624,1434.99983
2022-12-31,536.79331,430.58721,341.6421,941.80189,1435.18962
2023-01-01,536.93022,430.5402,341.54571,942.10762,1435.37947
2023-01-02,537.06715,430.49319,341.44933,942.41344,1435.56939
2023-01-03,537.20409,430.44618,341.35296,942.71935,1435.75937
2023-01-04,537.34105,430.39917,341.2566,943.02534,1435.94941
2023-01-05,537.47803,430.35216,341.16024,943.33143,1436.13953
2023-01-06,537.61502,430.30516,341.0639,943.6376,1436.3297
2023-01-07,537.75202,430.25816,340.96757,943.94387,1436.51995
2023-01-08,537.88904,430.21117,340.87124,944.25022,1436.71025
2023-01-09,538.02608,430.16417,340.77493,944.55665,1436.90063
2023-01-10,538.16313,430.11718,340.67862,944.86318,1437.09107
2023-01-11,538.3002,430.07019,340.58233,945.16979,1437.28157
2023-01-12,538.43728,430.0232,340.48604,945.47649,1437.47214
2023-01-13,538.57437,429.97622,340.38976,945.78328,1437.66277
2023-01-14,538.71149,429.92924,340.2935,946.09016,1437.85347
2023-01-15,538.84861,429.88226,340.19724,946.39712,1438.04423
2023-01-16,538.98576,429.83528,340.10099,946.70417,1438.23506
2023-01-17,539.12291,429.78831,340.00475,947.01131,1438.42596
2023-01-18,539.26008,429.74134,339.90852,947.31853,1438.61692
2023-01-19,539.39727,429.69437,339.81229,947.62584,1438.80794
2023-01-20,539.53448,429.6474,339.71608,947.93324,1438.99903
2023-01-21,539.67169,429.60044,339.61988,948.24072,1439.19018
2023-01-22,539.80893,429.55348,339.52368,948.54829,1439.3814
2023-01-23,539.94617,429.50652,339.4275,948.85595,1439.57269
2023-01-24,540.08344,429.45956,339.33132,949.1637,1439.76403
2023-01-25,540.22072,429.41261,339.23516,949.47152,1439.95545
2023-01-26,540.35801,429.36565,339.139,949.77944,1440.14693
2023-01-27,540.49532,429.31871,339.04285,950.08744,1440.33847
2023-01-28,540.63264,429.27176,338.94671,950.39553,1440.53008
2023-01-29,540.76998,429.22482,338.85059,950.7037,1440.72175
2023-01-30,540.90734,429.17787,338.75447,951.01196,1440.91349
2023-01-31,541.0447,429.13094,338.65835,951.32031,1441.10529
